Date,,TORAH,KETUVIM/Writings,BESORA,Day of Week,Month,Day,,,
10/4/26,BERESHIT,Gen1:1-2:19,Psalm 1,Matthew 1,Sunday,October,4,,,
10/5/26,BERESHIT,Gen 2:20-3:21,Psalm 2,Matthew 2,Monday,October,5,,,
10/6/26,BERESHIT,Gen 3-22-4-18,Psalm 3,Matthew 3,Tuesday,October,6,,,
10/7/26,BERESHIT,Gen 4:19-4:22,Psalm 4,Matthew 4,Wednesday,October,7,,,
10/8/26,BERESHIT,Gen 4:23=5:24,Psalm 5,Matthew 5,Thursday,October,8,,,
10/9/26,BERESHIT,Gen 5:25-6:8,HAF: 1 Samuel 20:18-42,John 1:1-18,Friday,October,9,,,
10/10/26,,,,,Saturday,October,10,,,
10/11/26,NOACH,Gen 6:9-7:16,Psalm 6,Matthew 6,Sunday,October,11,,,
10/12/26,NOACH,Gen 7:17-8:14,Psalm 7,Matthew 7,Monday,October,12,,,
10/13/26,NOACH,Gen 8:15-9:7,Psalm 8,Matthew 8,Tuesday,October,13,,,
10/14/26,NOACH,Gen 9:8-9:17,Psalm 9,Matthew 9,Wednesday,October,14,,,
10/15/26,NOACH,Gen 9:18-10:32,Psalm 10, Matthew 10,Thursday,October,15,,,
10/16/26,NOACH,Gen 11:1-11:32,HAF Isaiah 54:1-55:5,Luke 1:26-38,Friday,October,16,,,
10/17/26,,,,,Saturday,October,17,,,
10/18/26,LECH LECHA,Genesis 12:1-13:4,Psalm 11,Matthew 11,Sunday,October,18,,,
10/19/26,LECH LECHA,Gen 13:5-18,Psalm 12,Matthew 12,Monday,October,19,,,
10/20/26,LECH LECHA,Gen 14:1-14:20,Psalm 13,Matthew 13,Tuesday,October,20,,,
10/21/26,LECH LECHA,Gen 14:21-15:6,Psalm 14,Matthew 14,Wednesday,October,21,,,
10/22/26,LECH LECHA,Gen 15:7-17:6,Psalm 15,Matthew 15,Thursday,October,22,,,
10/23/26,LECH LECHA,Gen 17:7-17:27,HAF Isaiah 40:27-41:16,Luke 2:1-20,Friday,October,23,,,
10/24/26,,,,,Saturday,October,24,,,
10/25/26,VAYERA,Gen 18:1-33,Psalm 16,Matthew 16,Sunday,October,25,,,
10/26/26,VAYERA,Gen 19:1-20,Psalm 17,Matthew 17,Monday,October,26,,,
10/27/26,VAYERA,Gen 19:21-21:4,Psalm 18,Matthew 18,Tuesday,October,27,,,
10/28/26,VAYERA,Gen 21:5-21,Psalm 19,Matthew 19,Wednesday,October,28,,,
10/29/26,VAYERA,Gen 21-22-34,Psalm 20,Matthew 20,Thursday,October,29,,,
10/30/26,VAYERA,Gen 22:1-24,HAF 2 Kings 4:1-37,Luke 2:21-40,Friday,October,30,,,
10/31/26,,,,,Saturday,October,31,,,
11/1/26,CHAYEI SARA,Gen 23:1-24:9,Psalm 21,Matthew 21,Sunday,November,1,,,
11/2/26,CHAYEI SARA,Gen 24:10-26,Psalm 22,Matthew 22,Monday,November,2,,,
11/3/26,CHAYEI SARA,Gen 24:27-52,Psalm 23,Matthew 23,Tuesday,November,3,,,
11/4/26,CHAYEI SARA,Gen 24:53-67,Psalm 24,Matthew 24,Wednesday,November,4,,,
11/5/26,CHAYEI SARA,Gen 25:1-11,Psalm 25,Matthew 25,Thursday,November,5,,,
11/6/26,CHAYEI SARA,Gen 25:12-18,HAF 1 Kings 1:1-31,Luke 3:1-17,Friday,November,6,,,
11/7/26,,,,,Saturday,November,7,,,
11/8/26,TOLDOT,Gen 25:19-26:12,Psalm 26,Matthew 26,Sunday,November,8,,,
11/9/26,TOLDOT,Gen 26:13-22,Psalm 27,Matthew 27,Monday,November,11,,,
11/10/26,TOLDOT,Gen 26:23-29,Psalm 28,Matthew 28,Tuesday,November,10,,,
11/11/26,TOLDOT,Gen 26:30-27:27,Psalm 29,Mark 1,Wednesday,November,11,,,
11/12/26,TOLDOT,Gen 27:28-28:4,Psalm 30,Mark 2,Thursday,November,12,,,
11/13/26,TOLDOT,Gen 28:5-9,HAF Malachi 1:1-2:7,Luke 3:18-38,Friday,November,13,,,
11/14/26,,,,,Saturday,November,14,,,
11/15/26,VAYETZEI,Gen 28:10-29:17,Psalm 31,Mark 3,Sunday,November,15,,,
11/16/26,VAYETZEI,Gen 29:18-30:13,Psalm 32,Mark 4,Monday,November,16,,,
11/17/26,VAYETZEI,Gen 30:14-27,Psalm 33,Mark 5,Tuesday,November,17,,,
11/18/26,VAYETZEI,Gen 30:28-31:16,Psalm 34,Mark 6,Wednesday,November,18,,,
11/19/26,VAYETZEI,Gen 31:17-31:42,Psalm 35,Mark 7,Thursday,November,19,,,
11/20/26,VAYETZEI,Gen 31:43-32:3,HAF Hosea 12:13-14:10,Luke 4:1-15,Friday,November,20,,,
11/21/26,,,,,Saturday,November,21,,,
11/22/26,VAYISHLACH,Gen 32:4-30,Psalm 36,Mark 8,Sunday,November,22,,,
11/23/26,VAYISHLACH,Gen 32:31-33:5,Psalm 37,Mark 9,Monday,November,23,,,
11/24/26,VAYISHLACH,Gen 33:6-20,Psalm 38,Mark 10,Tuesday,November,24,,,
11/25/26,VAYISHLACH,Gen 34:1-35:11,Psalm 39,Mark 11,Wednesday,November,25,,,
11/26/26,VAYISHLACH,Gen 35:12-36:19,Psalm 40,Mark 12,Thursday,November,26,,,
11/27/26,VAYISHLACH,Gen 36:20-36:43,HAF Obadiah 1:1-21,Luke 4:16-30,Friday,November,27,,,
11/28/26,,,,,Saturday,November,28,,,
11/29/26,VAYESHEV,Gen 37:1-22,Psalm 41,Mark 13,Sunday,November,29,,,
11/30/26,VAYESHEV,Gen 37:23-36,Psalm 42,Mark 14,Monday,November,30,,,
12/1/26,VAYESHEV,Gen 38:1-30,Psalm 43,Mark 15,Tuesday,December,1,,,
12/2/26,VAYESHEV,Gen 39:1-6,Psalm 44,Mark 16,Wednesday,December,2,,,
12/3/26,VAYESHEV,Gen 39:7-23,Psalm 45,Luke 1,Thursday,December,3,,,
12/4/26,VAYESHEV,Gen 40:1-23,HAF Zechariah 2:14-4:7,John 10:22-42,Friday,December,4,,,
12/5/26,,,,,Saturday,December,5,,,
12/6/26,MIKKETZ,Gen 41:1-38,Psalm 46,Luke 2,Sunday,December,6,,,
12/7/26,MIKKETZ,Gen 41:39-52,Psalm 47,Luke 3,Monday,December,7,,,
12/8/26,MIKKETZ,Gen 41:53-42:18,Psalm 48,Luke 4,Tuesday,December,8,,,
12/9/26,MIKKETZ,Gen 42:19-43:15,Psalm 49,Luke 5,Wednesday,December,9,,,
12/10/26,MIKKETZ,Gen 43:16-44:17,Psalm 50,Luke 6,Thursday,December,10,,,
12/11/26,MIKKETZ,Num 7:24-29,HAF 1 KIngs 7:40-50,John 10:22-42,Friday,December,11,,,
12/12/26,,,Shabbat Rosh Chodesh Chanukah,,Saturday,December,12,,,
12/13/26,VAYIGASH,Gen 44:18-45:7,Psalm 51,Luke 7,Sunday,December,13,,,
12/14/26,VAYIGASH,Gen 45:8-18,Psalm 52,Luke 8,Monday,December,14,,,
12/15/26,VAYIGASH,Gen 45:19-27,Psalm 53,Luke 9,Tuesday,December,15,,,
12/16/26,VAYIGASH,Gen 45:28-46:27,Psalm 54,Luke 10,Wednesday,December,16,,,
12/17/26,VAYIGASH,Gen 46:28-47:10,Psalm 55,Luke 11,Thursday,December,17,,,
12/18/26,VAYIGASH,Gen 47:11-27,HAF Ezekiel 37:15-28,John 5:16-29,Friday,December,18,,,
12/19/26,,,,,Saturday,December,19,,,
12/20/26,VAYECHI,Gen 47:28-48:16,Psalm 56,Luke 12,Sunday,December,20,,,
12/21/26,VAYECHI,Gen 48:17-48:22,Psalm 57,Luke 13,Monday,December,21,,,
12/22/26,VAYECHI,Gen 49:1-18,Psalm 58,Luke 14,Tuesday,December,22,,,
12/23/26,VAYECHI,Gen 49:19-26,Psalm 59,Luke 15,Wednesday,December,23,,,
12/24/26,VAYECHI,Gen 49:27-50:20,Psalm 60,Luke 16,Thursday,December,24,,,
12/25/26,VAYECHI,Gen 50:21-26,HAF 1 Kings 2:1-12,John 5:30-47,Friday,December,25,,,
12/26/26,,,,,Saturday,December,26,,,
12/27/26,SHEMOT,Exodus 1:1-2:10,Psalm 61,Luke 17,Sunday,December,27,,,
12/28/26,SHEMOT,Exodus 2:11-25,Psalm 62,Luke 18,Monday,December,28,,,
12/29/26,SHEMOT,Exodus 3:1-15,Psalm 63,Luke 19,Tuesday,December,29,,,
12/30/26,SHEMOT,Exodus 3:16-4:17,Psalm 64,Luke 20,Wednesday,December,30,,,
12/31/26,SHEMOT,Exodus 4:18-31,Psalm 65,Luke 21,Thursday,December,31,,,
1/1/27,SHEMOT,Exodus 5:1-6:1,"HAF  Isaiah 27:6-28:13, 29:22-23",John 6:1-15,Friday,January,1,,,
1/2/27,,,,,Saturday,January,2,,,
1/3/27,VAERA,Exodus 6:2-28,Psalm 66,Luke 22,Sunday,January,3,,,
1/4/27,VAERA,Exodus 6:29-7:7,Psalm 67,Luke 23,Monday,January,4,,,
1/5/27,VAERA,Exodus 7:8-8:6,Psalm 68,Luke 24,Tuesday,January,5,,,
1/6/27,VAERA,Exodus 8:7-8:18,Psalm 69,John 1,Wednesday,January,6,,,
1/7/27,VAERA,Exodus 8:19-9:16,Psalm 70,John 2,Thursday,January,7,,,
1/8/27,VAERA,Exodus 9:17-35,HAF Ezekiel 28:25-29:21,John 6:16-29,Friday,January,8,,,
1/9/27,,,,,Saturday,January,9,,,
1/10/27,BO,Exodus 10:1-23,Psalm 71,John 3,Sunday,January,10,,,
1/11/27,BO,Exodus 10:24-11:3,Psalm 72,John 4,Monday,January,11,,,
1/12/27,BO,Exodus 11:4-12:20,Psalm 73,John 5,Tuesday,January,12,,,
1/13/27,BO,Exodus 12:21-12:28,Psalm 74,John 6,Wednesday,January,13,,,
1/14/27,BO,Exodus 12:29-51,Psalm 75,John 7,Thursday,January,14,,,
1/15/27,BO,Exodus 13:1-16,HAF Jeremiah 46:13-28,John 6:30-51,Friday,January,15,,,
1/16/27,,,,,Saturday,January,16,,,
1/17/27,BESHALACH,Exodus 13:17-14:14,Psalm 76,John 8 ,Sunday,January,17,,,
1/18/27,BESHALACH,Exodus 14:15-25,Psalm 77,John 9,Monday,January,18,,,
1/19/27,BESHALACH,Exodus 14:26-15:26,Psalm 78,John 10 ,Tuesday,January,19,,,
1/20/27,BESHALACH,Exodus 15:27-16:10,Psalm 79,John11,Wednesday,January,20,,,
1/21/27,BESHALACH,Exodus 16:11-16:36,Psalm 80,John 12,Thursday,January,21,,,
1/22/27,BESHALACH,Exodus 17:1-17:16,HAF Judges 4:4-5:31,John 6:52-71,Friday,January,22,,,
1/23/27,,,,,Saturday,January,23,,,
1/24/27,YITRO,Exodus 18:1-23,Psalm 81,John 13,Sunday,January,24,,,
1/25/27,YITRO,Exodus 18:24-27,Psalm 82,John 14,Monday,January,25,,,
1/26/27,YITRO,Exodus 19:1-6,Psalm 83,John 15,Tuesday,January,26,,,
1/27/27,YITRO,Exodus 19:7-19:19,Psalm 84,John 16,Wednesday,January,27,,,
1/28/27,YITRO,Exodus 19:20-20:14,Psalm 85,John 17,Thursday,January,28,,,
1/29/27,YITRO,Exodus 20:15-23,"HAF Isaiah 6:1-7:6, 9:5-6",John 7:1-13,Friday,January,29,,,
1/30/27,,,,,Saturday,January,30,,,
1/31/27,MISHPATIM,Exodus 21:1-22:3,Psalm 86,John 18,Sunday,January,31,,,
